,business_status,name,place_id,rating,latitude,longitude,rv_park,beauty_salon,aquarium,home_goods_store,storage,night_club,bicycle_store,shoe_store,furniture_store,drugstore,school,moving_company,electronics_store,supermarket,city_hall,post_office,roofing_contractor,book_store,airport,church,atm,gas_station,movie_theater,convenience_store,shopping_mall,lawyer,car_repair,accounting,florist,university,car_rental,primary_school,library,taxi_stand,bus_station,park,art_gallery,travel_agency,jewelry_store,liquor_store,laundry,secondary_school,gym,veterinary_care,real_estate_agency,department_store,cafe,car_dealer,police,subway_station,parking,locksmith,restaurant,courthouse,light_rail_station,amusement_park,campground,stadium,synagogue,fire_station,bank,museum,store,dentist,bar,casino,hindu_temple,funeral_home,insurance_agency,spa,mosque,cemetery,car_wash,local_government_office,lodging,pet_store,bakery,electrician,embassy,plumber,meal_takeaway,pharmacy,meal_delivery,train_station,zoo,tourist_attraction,hospital,movie_rental,doctor,transit_station,bowling_alley,clothing_store,painter,hair_care,physiotherapist,hardware_store
48,OPERATIONAL,አለም ብርሀን,ChIJ05aj6od5SxYRZnozgH7A-b0,,8.864827899999998,38.8025398,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,OPERATIONAL,Tamerate Admse,ChIJ07rns-mFSxYR7k61FKLIviM,,9.002883599999999,38.7690545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3893,OPERATIONAL,Higher 12 comprehensive high School ካራማራ,ChIJ08an4eqPSxYREgwM5iSxqsQ,,9.056324799999997,38.77866840000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,OPERATIONAL,Abinfo Academy,ChIJ08tHt-aDSxYRIYKrvdK5mNw,5.0,8.9501062,38.7426365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4076,OPERATIONAL,Dele Betegel school,ChIJ09aS0RmPSxYRLmrpEg0Hdbw,,9.0617428,38.7607548,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3034,OPERATIONAL,INDIAN NATIONAL SCHOOL,ChIJ0QbJ7_SFSxYRPRipclGSH0Q,3.0,9.0319129,38.7558683,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2506,OPERATIONAL,DJ. HAILU TESFAYE JUNIOR SCHOOL,ChIJ0RzeLRCGSxYRa5B9WHn2q50,1.0,9.0275649,38.7258029,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2688,OPERATIONAL,Biruh Tesfa Elementary School,ChIJ0V-v2m-FSxYRkKW1558HeS8,1.0,9.0199541,38.7897742,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3708,OPERATIONAL,Ethio Parents School,ChIJ0Z78GreISxYRvJiiBNH2jFw,3.6,9.052636399999999,38.7290865,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,OPERATIONAL,Ethio National School,ChIJ0ZCPXnmCSxYRigjZekrimTE,4.3,8.8931608,38.7723514,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3505,OPERATIONAL,Hidar 29 Boarding School,ChIJ0__Vc26PSxYRQSq2qObLN4E,,9.0467319,38.7665933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2341,OPERATIONAL,አኩል ኦፍ ሆልነስ School of Wholeness Kindergarten,ChIJ0a0wXCiFSxYRFw4qFcAlm1I,,9.0107734,38.79943379999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3237,OPERATIONAL,School Of Paradise Hills,ChIJ0aqvBx2HSxYRYJy3AM4fzhc,5.0,9.038742899999999,38.6676388,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3764,OPERATIONAL,MAMILY ACADEMY,ChIJ0e2kRU6PSxYRabPWW4Qoxmg,,9.046878,38.74390739999999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,OPERATIONAL,Basilios school,ChIJ0fEiQfGHSxYRlX2cNiUgetM,,8.9768145,38.70419030000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4166,OPERATIONAL,Abebech Gobena Kindergarten,ChIJ0xSkgS-JSxYRoSDHpeIZ0rw,,9.071396499999997,38.670191,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
