,business_status,name,place_id,rating,latitude,longitude,casino,store,moving_company,shoe_store,gas_station,bank,park,car_dealer,amusement_park,lodging,night_club,rv_park,mosque,accounting,home_goods_store,courthouse,zoo,plumber,train_station,bakery,pharmacy,clothing_store,bicycle_store,storage,veterinary_care,university,gym,laundry,car_rental,furniture_store,light_rail_station,secondary_school,jewelry_store,parking,beauty_salon,spa,restaurant,synagogue,funeral_home,transit_station,pet_store,campground,movie_theater,bar,florist,atm,aquarium,movie_rental,hospital,real_estate_agency,cemetery,doctor,cafe,insurance_agency,school,taxi_stand,hardware_store,city_hall,shopping_mall,dentist,post_office,meal_delivery,meal_takeaway,stadium,tourist_attraction,car_wash,locksmith,hindu_temple,fire_station,bowling_alley,department_store,liquor_store,airport,primary_school,library,roofing_contractor,supermarket,church,painter,police,convenience_store,physiotherapist,local_government_office,travel_agency,bus_station,drugstore,embassy,electrician,lawyer,hair_care,art_gallery,electronics_store,museum,car_repair,book_store,subway_station
990,OPERATIONAL,Melkam Getaneh Pharmacy,ChIJQ1lPuoCPSxYRuGNM9xUp0mk,5.0,9.031775199999998,38.783638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,OPERATIONAL,Ghion Pharmacy,ChIJQ1oah8CFSxYR9TwKOSEGn_c,4.7,9.0139152,38.757699,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,OPERATIONAL,Mikile Tea Bet,ChIJQ7tv0v2JSxYRaM6HSFb2Ww8,,9.0716863,38.68845139999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,OPERATIONAL,ሊያ መድኃኒት ቤት,ChIJQ812XaeHSxYRiKBLMa62oL8,,9.028236899999998,38.7147344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OPERATIONAL,Sefanit Pharmacy,ChIJQ8PTo2CBSxYR5_SvURZ15OI,5.0,8.9404379,38.7347113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,OPERATIONAL,Twins Pharmacy,ChIJQQ9fB3GFSxYRGV0xB8gSI7U,1.0,9.0194312,38.7865371,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,OPERATIONAL,አሉላ ፍቀደ መድኃኒት ቤት | Alula Fekede Pharmacy,ChIJQWUNYD2HSxYRGuSImx_Umbg,,9.004041899999999,38.6866563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,OPERATIONAL,MARCHELINO PHARMACY,ChIJQXXt1t-FSxYRPfqtn4y3_qg,5.0,8.9939982,38.75945310000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,OPERATIONAL,International Pharmacy,ChIJQbOvhVGFSxYRnsfHgZJyQiQ,5.0,9.0187527,38.752861,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,OPERATIONAL,Ethiopian Geological Laboratory,ChIJQcKbvKuFSxYRSyKI-yWSuOA,3.5,8.9850627,38.7404045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
